city_state,income_avg
"autauga, al",46814
"baldwin, al",50953
"barbour, al",37850
"bibb, al",34300
"blount, al",38808
"bullock, al",31944
"butler, al",39988
"calhoun, al",40195
"chambers, al",38508
"cherokee, al",37869
"chilton, al",38778
"choctaw, al",42231
"clarke, al",40822
"clay, al",37179
"cleburne, al",37734
"coffee, al",45262
"colbert, al",41941
"conecuh, al",36908
"coosa, al",34683
"covington, al",37930
"crenshaw, al",38161
"cullman, al",42659
"dale, al",40111
"dallas, al",41195
"dekalb, al",35100
"elmore, al",47270
"escambia, al",37137
"etowah, al",39852
"fayette, al",38001
"franklin, al",37362
"geneva, al",38358
"greene, al",35992
"hale, al",41190
"henry, al",45409
"houston, al",47072
"jackson, al",40089
"jefferson, al",58424
"lamar, al",37161
"lauderdale, al",40729
"lawrence, al",38098
"lee, al",42468
"limestone, al",47695
"lowndes, al",44921
"macon, al",37834
"madison, al",57128
"marengo, al",43854
"marion, al",36330
"marshall, al",40045
"mobile, al",42823
"monroe, al",38192
"montgomery, al",47776
"morgan, al",44679
"perry, al",36217
"pickens, al",36861
"pike, al",40342
"randolph, al",35208
"russell, al",36526
"shelby, al",59588
"st. clair, al",43279
"sumter, al",35310
"talladega, al",38300
"tallapoosa, al",45058
"tuscaloosa, al",42868
"walker, al",44095
"washington, al",40371
"wilcox, al",38273
"winston, al",38382
"anchorage, ak",70477
"bethel, ak",47936
"bristol bay, ak",152678
"denali borough, ak",72967
"dillingham census area, ak",60792
"fairbanks north star borough, ak",62254
"haines borough, ak",64956
"hoonah-angoon census area, ak",64708
"juneau city and borough, ak",74162
"kenai peninsula borough, ak",56139
"ketchikan gateway borough, ak",70574
"kodiak island borough, ak",66988
"kusilvak census area, ak",33968
"lake and peninsula borough, ak",63397
"matanuska-susitna borough, ak",50386
"nome census area, ak",55950
"north slope borough, ak",90809
"northwest arctic borough, ak",52440
"petersburg borough, ak",72412
"prince of wales-hyder census area, ak",48970
"sitka city and borough, ak",70996
"skagway municipality, ak",66548
"southeast fairbanks census area, ak",54808
"wrangell city and borough, ak",48549
"yakutat city and borough, ak",66119
"yukon-koyukuk census area, ak",63675
"apache, az",38915
"cochise, az",45786
"coconino, az",53036
"gila, az",44201
"graham, az",35072
"greenlee, az",44050
"la paz, az",39482
"maricopa, az",53521
"mohave, az",36529
"navajo, az",36169
"pima, az",48373
"pinal, az",35949
"santa cruz, az",42204
"yavapai, az",44490
"yuma, az",40800
"ashley, ar",38489
"baxter, ar",39950
"benton, ar",94289
"boone, ar",38108
"bradley, ar",42037
"calhoun, ar",38509
"carroll, ar",34692
"chicot, ar",44762
"clark, ar",39450
"clay, ar",39157
"cleburne, ar",41656
"cleveland, ar",40366
"columbia, ar",38806
"conway, ar",40633
"craighead, ar",40728
"crawford, ar",35919
"crittenden, ar",41474
"cross, ar",41715
"dallas, ar",40611
"desha, ar",44920
"drew, ar",40726
"faulkner, ar",41943
"franklin, ar",33885
"fulton, ar",31840
"garland, ar",44358
"grant, ar",41674
"greene, ar",38560
"hempstead, ar",33760
"hot spring, ar",34110
"howard, ar",34751
"independence, ar",38266
"izard, ar",32606
"jackson, ar",41646
"jefferson, ar",39443
"johnson, ar",30728
"lafayette, ar",38307
"lawrence, ar",38065
"lee, ar",32359
"lincoln, ar",29008
"little river, ar",37075
"logan, ar",34433
"lonoke, ar",43537
"madison, ar",34012
"marion, ar",33493
"miller, ar",37065
"mississippi, ar",37730
"monroe, ar",40475
"montgomery, ar",32125
"nevada, ar",35808
"newton, ar",32731
"ouachita, ar",41877
"perry, ar",38404
"phillips, ar",38155
"pike, ar",33920
"poinsett, ar",37307
"polk, ar",32573
"pope, ar",36617
"prairie, ar",42843
"pulaski, ar",55563
"randolph, ar",36401
"saline, ar",45692
"scott, ar",32290
"searcy, ar",31657
"sebastian, ar",45586
"sevier, ar",32926
"sharp, ar",35612
"st. francis, ar",30903
"stone, ar",32753
"union, ar",48669
"van buren, ar",34482
"washington, ar",43817
"white, ar",39598
"woodruff, ar",45248
"yell, ar",33506
"alameda, ca",87078
"alpine, ca",76175
"amador, ca",47721
"butte, ca",50279
"calaveras, ca",53026
"colusa, ca",57382
"contra costa, ca",92264
"del norte, ca",40192
"el dorado, ca",72662
"fresno, ca",48495
"glenn, ca",52219
"humboldt, ca",50182
"imperial, ca",44500
"inyo, ca",64335
"kern, ca",44721
"kings, ca",41829
"lake, ca",47144
"lassen, ca",40490
"los angeles, ca",68272
"madera, ca",44532
"marin, ca",145575
"mariposa, ca",57828
"mendocino, ca",54795
"merced, ca",43914
"modoc, ca",52779
"mono, ca",54586
"monterey, ca",61510
"napa, ca",82408
"nevada, ca",64876
"orange, ca",74618
"placer, ca",72279
"plumas, ca",55029
"riverside, ca",45834
"sacramento, ca",58307
"san benito, ca",60807
"san bernardino, ca",44831
"san diego, ca",66266
"san francisco, ca",144818
"san joaquin, ca",51816
"san luis obispo, ca",62342
"san mateo, ca",141841
"santa barbara, ca",67879
"santa clara, ca",123661
"santa cruz, ca",75957
"shasta, ca",51649
"sierra, ca",49139
"siskiyou, ca",49664
