ship_city_state,transaction_count,sum_trans_amount,avg_trans_amount
"irvine, ca",948,927698.29,978.58
"katy, tx",276,240651.82,871.93
"littleton, co",298,268656.77,901.53
"los angeles, ca",3276,3004829.09,917.22
"novi, mi",72,65742.28,913.09
"mountain view, ca",554,521139.06,940.68
"paso robles, ca",24,17340.06,722.50
"seattle, wa",4767,4231394.27,887.64
"newark, de",91,103688.99,1139.44
"clarksburg, md",53,42751.57,806.63
"fremont, ca",477,397725.91,833.81
"gresham, or",37,30260.98,817.86
"sioux falls, sd",188,215694.84,1147.31
"las vegas, nv",775,901170.50,1162.80
"san francisco, ca",4418,3555390.97,804.75
"minneapolis, mn",1228,1036266.40,843.87
"portland, or",2078,1585407.71,762.95
"goodrich, mi",4,3656.58,914.15
"tucson, az",523,472292.73,903.05
"nashville, tn",772,757140.74,980.75
"boston, ma",1151,1040334.56,903.85
"san jose, ca",1913,1597320.65,834.98
"madison, wi",534,494505.86,926.04
"san dimas, ca",27,22586.88,836.55
"foster city, ca",129,100291.10,777.45
"chandler, az",331,322417.86,974.07
"elk grove, ca",133,121845.38,916.13
"auburn, ca",31,28608.84,922.87
"west valley city, ut",33,25505.85,772.90
"fort worth, tx",438,541383.97,1236.04
"orange, ca",150,152821.53,1018.81
"sacramento, ca",637,685207.21,1075.68
"milpitas, ca",161,131506.61,816.81
"columbia falls, mt",11,5473.00,497.55
"santa monica, ca",392,367824.36,938.33
"los altos, ca",176,148252.98,842.35
"knoxville, tn",297,306750.38,1032.83
"mission viejo, ca",117,100755.43,861.16
"west orange, nj",62,47549.66,766.93
"bellevue, wa",819,896981.05,1095.21
"princeton junction, nj",48,41727.56,869.32
"sarasota, fl",214,189405.47,885.07
"orinda, ca",90,79955.58,888.40
"san bruno, ca",84,84856.95,1010.20
"redmond, wa",678,644364.77,950.39
"coeur d alene, id",47,57106.01,1215.02
"cypress, tx",167,154406.48,924.59
"helena, al",8,4171.44,521.43
"sammamish, wa",307,277718.01,904.62
"mount holly, nc",21,23812.43,1133.93
"mableton, ga",40,31298.28,782.46
"oakland, ca",1201,969949.07,807.62
"elmendorf, tx",3,465.69,155.23
"wilsonville, or",45,35519.97,789.33
"spokane, wa",235,290892.71,1237.84
"petaluma, ca",115,109410.71,951.40
"champaign, il",71,62375.62,878.53
"vancouver, wa",382,415913.20,1088.78
"dallas, tx",1490,1497395.10,1004.96
"burbank, ca",267,263029.02,985.13
"black diamond, wa",13,11503.72,884.90
"white plains, ny",95,96101.34,1011.59
"princeton, nj",163,131593.17,807.32
"kirkland, wa",613,562022.93,916.84
"granada hills, ca",52,41610.64,800.20
"maumelle, ar",14,6367.86,454.85
"huntington, wv",24,51193.22,2133.05
"san diego, ca",2130,1843541.46,865.51
"elizabeth city, nc",5,1370.20,274.04
"brooklyn, ny",3188,2562015.61,803.64
"round rock, tx",429,461819.25,1076.50
"winter park, fl",130,166220.75,1278.62
"springfield, or",73,95462.18,1307.70
"austin, tx",5689,5494794.39,965.86
"salt lake city, ut",625,705402.51,1128.64
"raleigh, nc",992,937097.84,944.66
"old bridge, nj",29,26054.66,898.44
"greensboro, nc",163,143583.31,880.88
"south kingstown, ri",11,12305.30,1118.66
"asheville, nc",206,184128.61,893.83
"etna, ny",2,192.24,96.12
"westport, ct",86,74200.77,862.80
"pueblo, co",25,22852.29,914.09
"chantilly, va",103,102593.04,996.05
"clearwater, fl",122,120045.42,983.98
"naples, fl",225,205888.31,915.06
"springfield, il",49,38479.10,785.29
"port ludlow, wa",6,4701.92,783.65
"sandy spgs, ga",46,39433.19,857.24
"vienna, va",231,186742.11,808.41
"alexandria, va",673,552065.19,820.30
"silverdale, wa",28,32905.07,1175.18
"tampa, fl",607,574888.18,947.10
"scarborough, me",39,30518.59,782.53
"atlanta, ga",1579,1496630.78,947.83
"washington, dc",1915,1597148.15,834.02
"dunwoody, ga",64,44752.66,699.26
"rockwall, tx",70,124697.76,1781.40
"mankato, mn",26,24537.05,943.73
"mill valley, ca",158,128001.72,810.14
"ellicott city, md",157,141473.96,901.11
"lawrence, ny",6,3557.48,592.91
"jersey city, nj",782,602727.59,770.75
"yonkers, ny",63,49301.16,782.56
"san antonio, tx",1043,1050474.35,1007.17
"clarksville, tn",52,62241.63,1196.95
"arlington, va",946,882074.56,932.43
"canyon country, ca",22,19330.38,878.65
"pasadena, ca",359,355580.49,990.47
"dudley, ma",7,6254.95,893.56
"edwardsville, il",33,24080.82,729.72
"rocky point, ny",5,3869.23,773.85
"post falls, id",28,18137.02,647.75
"westfield, nj",93,90497.94,973.10
"richfield, mn",25,21022.23,840.89
"wakefield, ma",40,44491.79,1112.29
"decatur, al",20,20600.95,1030.05
"towaco, nj",6,5000.71,833.45
"cumming, ga",185,168930.90,913.14
"scotch plains, nj",28,22938.07,819.22
"hanover, md",52,69709.97,1340.58
"phoenix, md",8,9386.21,1173.28
"indianapolis, in",554,488233.66,881.29
"lexington, ky",226,250322.06,1107.62
"lansing, mi",67,80717.74,1204.74
"gardnerville, nv",15,16420.42,1094.69
"west springfield, va",11,7232.95,657.54
"columbus, oh",570,661341.10,1160.25
"west hollywood, ca",133,117254.60,881.61
"hinesburg, vt",13,6180.39,475.41
"oakland park, fl",16,13812.63,863.29
"scarsdale, ny",105,102760.34,978.67
"basking ridge, nj",56,49754.41,888.47
"grand lake, co",1,1050.54,1050.54
"humble, tx",77,74565.78,968.39
"chicago, il",3869,3215720.89,831.15
"lithia, fl",31,27068.85,873.19
"south royalton, vt",3,2379.70,793.23
"new york, ny",5118,4579650.39,894.81
"north east, pa",3,3985.81,1328.60
"new holland, pa",13,22347.98,1719.08
"colorado springs, co",594,618172.10,1040.69
"denver, co",2206,2037454.60,923.60
"houston, tx",2165,2184672.96,1009.09
"santa cruz, ca",183,175317.69,958.02
"newport, ri",25,26477.18,1059.09
"carmel, in",206,186953.96,907.54
"bradenton, fl",118,113837.52,964.72
"huntersville, nc",96,95858.34,998.52
"madison, al",73,77143.10,1056.75
"fairfax, va",351,328457.38,935.78
"framingham, ma",101,82584.06,817.66
"waxhaw, nc",78,69152.49,886.57
"paducah, ky",17,11050.68,650.04
"fort myers, fl",119,148864.83,1250.96
"chevy chase, md",85,73527.95,865.03
"carrollton, tx",143,148656.76,1039.56
"stevensville, mi",10,12818.58,1281.86
"mount prospect, il",39,27787.79,712.51
"bothell, wa",396,378831.35,956.64
"saint petersburg, fl",243,212220.81,873.34
"santa clara, ca",547,430122.57,786.33
"sierra madre, ca",18,14625.99,812.56
"shoreline, wa",167,148266.01,887.82
"orlando, fl",702,615718.52,877.09
"bolton, ma",14,13462.34,961.60
"sunny isles beach, fl",23,17909.77,778.69
"southaven, ms",5,4960.74,992.15
"el dorado hills, ca",70,59215.09,845.93
"tempe, az",246,207511.68,843.54
"lawrence, ks",94,95361.62,1014.49
"venice, ca",133,129925.08,976.88
"leominster, ma",25,18581.16,743.25
"newport coast, ca",11,10266.11,933.28
"austintown, oh",1,1729.94,1729.94
"cliffside park, nj",23,15648.19,680.36
"south orange, nj",59,59420.09,1007.12
"north charleston, sc",44,55713.82,1266.22
"shoreview, mn",40,33062.60,826.57
"roswell, ga",153,142016.21,928.21
"murfreesboro, tn",98,87611.72,894.00
"denville, nj",18,14807.22,822.62
"charlotte, nc",1123,1057608.15,941.77
"glen allen, va",95,87417.53,920.18
"bloomington, in",132,112132.30,849.49
"west chester, pa",176,153588.06,872.66
"maple grove, mn",126,118142.88,937.64
"needham, ma",89,75923.19,853.07
"tarzana, ca",37,32167.85,869.40
"medford, nj",19,17445.94,918.21
"pittsburgh, pa",834,755146.20,905.45
"worcester, ma",98,70172.78,716.05
"saint clair shores, mi",26,18881.26,726.20
"slater, ia",2,320.08,160.04
"oceanside, ny",19,15217.28,800.91
"east wenatchee, wa",29,27983.34,964.94
"jacksonville beach, fl",46,28041.39,609.60
"pflugerville, tx",286,246405.23,861.56
"kennett square, pa",32,29089.59,909.05
"cedar rapids, ia",90,70308.44,781.20
"canton, ms",4,6747.42,1686.86
"martinsville, nj",9,5567.97,618.66
"lombard, il",49,42620.57,869.81
"scottsdale, az",506,477317.43,943.32
"kentwood, mi",21,27192.81,1294.90
"hoboken, nj",285,250529.08,879.05
"norwell, ma",19,20049.40,1055.23
"coopersburg, pa",14,8528.70,609.19
"portsmouth, nh",100,145225.25,1452.25
"cedar creek, tx",5,4903.72,980.74
"olsburg, ks",2,1108.33,554.17
"bend, or",327,381198.40,1165.74
"bronx, ny",225,166886.70,741.72
"owasso, ok",25,17613.99,704.56
"sandusky, oh",9,10533.23,1170.36
"hillsdale, ny",6,2468.46,411.41
"cayce, sc",10,9522.29,952.23
"clarksville, md",29,33033.42,1139.08
"newtown square, pa",27,32879.92,1217.77
"niskayuna, ny",32,24457.90,764.31
"oak ridge, nc",8,9022.73,1127.84
"novato, ca",96,111968.39,1166.34
"cary, nc",437,385004.80,881.02
"owens cross roads, al",21,23317.64,1110.36
"fuquay varina, nc",84,68086.58,810.55
"omaha, ne",382,377426.12,988.03
"duluth, mn",71,64438.61,907.59
"ardsley, ny",13,9095.92,699.69
"greenlawn, ny",8,8987.84,1123.48
"fort collins, co",383,362872.47,947.45
"springfield, va",92,92047.14,1000.51
"saint louis, mo",594,556634.28,937.09
"schenectady, ny",42,35032.66,834.11
"hilton head island, sc",34,44473.78,1308.05
"larchmont, ny",59,46812.79,793.44
"saint paul, mn",416,410998.80,987.98
"lagrange, ga",10,7680.89,768.09
"independence, mo",19,15649.75,823.67
"oyster bay, ny",8,6993.28,874.16
"fort wayne, in",133,137405.97,1033.13
"colton, ca",5,2755.60,551.12
"charles town, wv",11,12787.11,1162.46
"lake forest, ca",141,114058.19,808.92
"southwick, ma",1,27.63,27.63
"stillwater, ok",19,15152.09,797.48
"chardon, oh",12,10412.08,867.67
"west boylston, ma",4,5362.02,1340.51
"georgetown, tx",270,257791.22,954.78
"oak park, il",122,98221.76,805.10
"bedford, ma",53,38199.27,720.74
"wilton, ct",62,52334.32,844.10
"spring, tx",318,325503.27,1023.60
"woodland hills, ca",116,108282.49,933.47
"tarentum, pa",5,3292.82,658.56
"phoenix, az",958,980471.99,1023.46
"fort mill, sc",117,118831.09,1015.65
"garden grove, ca",75,57835.01,771.13
"lafayette, in",56,52121.21,930.74
"chapel hill, nc",259,247627.40,956.09
"soquel, ca",19,16024.09,843.37
"townsend, ma",3,3609.31,1203.10
"glendale, ca",251,201572.15,803.08
"dayton, oh",118,145210.77,1230.60
"hackensack, nj",32,24674.25,771.07
"monrovia, md",10,8212.03,821.20
"troy, mi",94,95526.77,1016.24
"pennington, nj",26,24913.70,958.22
"grand marais, mn",2,1010.27,505.14
"park city, ut",115,129892.73,1129.50
"woodinville, wa",193,179268.67,928.85
"herndon, va",164,191889.32,1170.06
"arvada, co",239,212944.05,890.98
"cincinnati, oh",450,423940.36,942.09
"somerville, ma",412,315055.24,764.70
"stone mountain, ga",23,18888.24,821.23
"cambridge, ma",600,537123.32,895.21
"zionsville, in",63,55674.10,883.72
"gig harbor, wa",66,61119.88,926.06
"olmsted twp, oh",8,7634.52,954.32
"miami beach, fl",118,120889.94,1024.49
"fullerton, ca",115,97843.30,850.81
"ventura, ca",106,102394.41,965.99
"frisco, tx",415,380796.41,917.58
"kansas city, mo",353,326011.83,923.55
"lakewood, co",273,248854.45,911.55
"issaquah, wa",282,273135.41,968.57
"north attleboro, ma",30,22188.80,739.63
"williamsville, ny",25,24002.69,960.11
"pleasant hill, ca",92,65402.00,710.89
"san mateo, ca",410,326843.77,797.18
"chattanooga, tn",159,138417.93,870.55
"keystone, co",5,2386.50,477.30
"nokomis, fl",11,8710.93,791.90
"grandview, mo",4,2562.67,640.67
"flowery branch, ga",19,15857.21,834.59
"bethlehem, pa",65,59868.26,921.05
"saratoga, ca",120,111049.60,925.41
"windsor, co",67,70523.63,1052.59
"bellingham, wa",225,207114.92,920.51
"pensacola, fl",141,160092.49,1135.41
"encinitas, ca",110,110822.71,1007.48
"san bernardino, ca",32,18638.49,582.45
"valencia, ca",83,122026.96,1470.20
"excelsior springs, mo",4,2615.00,653.75
"holly springs, nc",123,104410.49,848.87
"lewisville, tx",103,81215.25,788.50
"new canaan, ct",61,63086.10,1034.20
"soledad, ca",2,2165.22,1082.61
